"","Title","Genres","Review Rating"
"1","Toxin: 700 Days Left on Earth (2015)","Action| Drama| Horror",8.4
"2","Made Me Do It (2017)","Drama| Fantasy| Horror| Thriller",8.3
"3","RIP (2017)","Comedy| Horror",8.7
"4","Dream Nightmare (2016)","Fantasy| Horror",8
"5","Psychedelia (2016)","Fantasy| Horror| Sci-Fi| Thriller",8.6
"6","Rumah Gurita (2014)","Drama| Horror| Mystery| Romance| Thriller",8
"7","The Rakugo Movie (2012)","Comedy| Crime| Drama| Horror",8.3
"8","Malady (2015)","Drama| Horror| Mystery",9
"9","Ouija: Game Never Ends (2015)","Horror",8.3
"10","Tales from the Campfire (2017)","Horror",9
"11","Compulsión (2017)","Crime| Horror| Thriller",8.2
"12","Gas Light (2016)","Horror| Mystery| Thriller",8.6
"13","Sumpahan kum kum (2012)","Horror",8.9
"14","You Better Watch Out! (2013)","Horror",8
"15","Dead Men Tell No Tales (2016)","Horror",8.4
"16","Boots on the Ground (2017)","Horror",8
"17","Groundhog (2017)","Comedy| Horror",8.9
"18","Candie's Harem (2015)","Horror| Mystery",8.3
"19","Wang Fam (2015)","Comedy| Horror",8.2
"20","Ajin Part 3: Shougeki (2016)","Animation| Adventure| Horror",8.2
"21","Ajin Part 2: Shoutotsu (2016)","Animation| Adventure| Horror",8.1
"22","The Small Woman in Grey (2017)","Horror",9.5
"23","Michael Myers: Absolute Evil (2016)","Horror",8.3
"24","Take 2: The Audition (2015)","Horror",9.3
"25","Mortal Remains (2013)","Horror| Mystery| Thriller",8.3
"26","Johann Karlo's Gun Driver (2016)","Action| Adventure| Fantasy| Horror| Sci-Fi| Western",9.3
"27","Lapachhapi (2017)","Drama| Horror| Mystery| Thriller",8.3
"28","The Lurking Man (2017)","Drama| Horror| Mystery| Thriller",8.4
"29","Locked (2013)","Horror| Thriller",8.8
"30","I wish I wish (2016)","Horror",8.4
"31","Bloody Bobby (2016)","Comedy| Horror| Mystery",9
"32","Dracula A.D. 2015 (2015)","Horror",8.4
"33","The Scarapist (2015)","Crime| Horror| Thriller",8.3
"34","Fall of Grace (2017)","Horror",8.2
"35","Show Yourself (2016)","Drama| Horror",8.6
"36","Furry Nights (2016)","Horror",8.2
"37","The Slayers (2015)","Comedy| Horror",9
"38","The Devils Door (2016)","Horror",8.2
"39","In April (2016)","Action| Drama| Fantasy| Horror| Thriller",8.5
"40","Main Street Meats (2017)","Horror",8.1
"41","Shadowhunters: Devilspeak (2015)","Horror",8.1
"42","Coco (2017)","Horror",8.2
"43","The Lower Angels (2014)","Drama| Horror| Thriller",8.7
"44","13 Score (2014)","Horror",8.4
"45","Cellar Secret (2016)","Horror| Thriller",8.6
"46","Barrio Tales 2 (2016)","Comedy| Horror",9.2
"47","Like Lambs (2016)","Action| Horror| Thriller",8.5
"48","Heavy Water (2014)","Drama| Horror",9
"49","Face of Evil (2016)","Horror| Thriller",8
"50","Scars of Xavier (2017)","Drama| Horror| Thriller",8.5
"51","Trey the Movie (2013)","Action| Horror| Thriller",8
"52","Fazbear's Fright: The Fan Film (2017)","Horror",8.1
"53","Savage High (2015)","Horror| Mystery",8.1
"54","Still (2016)","Comedy| Horror",8.4
"55","21 (2016)","Horror",8.2
"56","Prosper (2014)","Horror| Thriller",8.8
"57","Heavy Makeup (2015)","Horror| Mystery| Thriller",8
"58","The Plague 2: Biohazard Blood (2017)","Horror",9.1
"59","No Reasons (2016)","Drama| Horror| Thriller",8
"60","Wekufe (2016)","Horror| Mystery| Thriller",8.4
"61","Phantasmagoria (2017)","Horror",8.2
"62","Teniente Gimo (2016)","Horror",9.1
"63","The Smudging (2016)","Horror| Thriller",8.8
"64","The Devil's Hour (2016)","Horror",8.6
"65","60 Seconds 2 Die: 60 Seconds to Die 2 (2016)","Horror",8.2
"66","Hell Mountain (2016)","Horror",9.2
"67","Fractured (2016)","Horror| Thriller",8.1
"68","#Slaughterhouse (2017)","Action| Horror",8.2
"69","Bong of the Living Dead (2017)","Horror",9.4
"70","The Thirteenth (2017)","Horror",9.4
"71","Vile Prey (2016)","Horror",8.8
"72","Convention of the Dead (2016)","Action| Comedy| Horror",8.5
"73","Kataka (2017)","Horror| Thriller",8.7
"74","Hotel Inferno 2: The Cathedral of Pain (2017)","Action| Horror",9.5
"75","Nilalang (2015)","Action| Crime| Horror| Mystery| Thriller",8.1
"76","Bliss (2017)","Drama| Horror| Mystery| Thriller",8.3
"77","The Theta Girl (2017)","Action| Horror| Sci-Fi",9.6
