"","Title","Genres","Review Rating"
"1","Malady (2015)","Drama| Horror| Mystery",9
"2","Tales from the Campfire (2017)","Horror",9
"3","The Small Woman in Grey (2017)","Horror",9.5
"4","Take 2: The Audition (2015)","Horror",9.3
"5","Johann Karlo's Gun Driver (2016)","Action| Adventure| Fantasy| Horror| Sci-Fi| Western",9.3
"6","Bloody Bobby (2016)","Comedy| Horror| Mystery",9
"7","The Slayers (2015)","Comedy| Horror",9
"8","Barrio Tales 2 (2016)","Comedy| Horror",9.2
"9","Heavy Water (2014)","Drama| Horror",9
"10","The Plague 2: Biohazard Blood (2017)","Horror",9.1
"11","Teniente Gimo (2016)","Horror",9.1
"12","Hell Mountain (2016)","Horror",9.2
"13","Bong of the Living Dead (2017)","Horror",9.4
"14","The Thirteenth (2017)","Horror",9.4
"15","Hotel Inferno 2: The Cathedral of Pain (2017)","Action| Horror",9.5
"16","The Theta Girl (2017)","Action| Horror| Sci-Fi",9.6
"17","Flesh of the Void (2017)","Horror",9.5
"18","Do You See Me (2017)","Horror",9.1
"19","Family Possessions (2016)","Horror",9
"20","Bonehill Road (2017)","Horror",9.8
"21","Ayla (2017)","Drama| Fantasy| Horror| Thriller",9
"22","Halloween: The Return of Laurie Strode (2017)","Horror",9.1
"23","The Carmilla Movie (2017)","Comedy| Horror| Romance",9.6
