"","Title","Genres","Review Rating"
"1","Moonshine Meat Market Mayhem (2016)","Action| Adult| Comedy| Horror| Sci-Fi| Western",5.2
"2","Journey to the West (2013)","Action| Adventure| Comedy| Drama| Fantasy| Horror| Romance",6.8
"3","Spring Break Zombie Massacre (2016)","Action| Adventure| Comedy| Drama| Fantasy| Horror| Romance| Thriller",7.3
"4","Manborg (2011)","Action| Adventure| Comedy| Fantasy| Horror| Sci-Fi",5.6
"5","Bullets for the Dead (2015)","Action| Adventure| Comedy| Horror",5
"6","Go Goa Gone (2013)","Action| Adventure| Comedy| Horror",6.7
"7","Return to Return to Nuke 'Em High Aka Vol. 2 (2017)","Action| Adventure| Comedy| Horror| Sci-Fi",7.5
"8","Big Bad Bugs (2012)","Action| Adventure| Comedy| Horror| Sci-Fi| Thriller",2.2
"9","The Ungovernable Force (2015)","Action| Adventure| Comedy| Horror| Sci-Fi| Thriller",6.5
"10","Bachelor Games (2016)","Action| Adventure| Comedy| Horror| Thriller",4.4
"11","Halloweed (2016)","Action| Adventure| Comedy| Horror| Thriller",3.6
"12","Dust Up (2012)","Action| Adventure| Comedy| Horror| Thriller| Western",4.9
"13","Mojin - The Lost Legend (2015)","Action| Adventure| Drama| Fantasy| Horror| Mystery| Thriller",6
"14","Attack on Titan: Part 1 (2015)","Action| Adventure| Drama| Fantasy| Horror| Sci-Fi",5.1
"15","Shin Godzilla (2016)","Action| Adventure| Drama| Horror| Sci-Fi",6.7
"16","The Osiris Child (2016)","Action| Adventure| Drama| Horror| Sci-Fi| Thriller",5.7
"17","Underworld: Blood Wars (2016)","Action| Adventure| Fantasy| Horror",5.8
"18","BloodRayne: The Third Reich (2011)","Action| Adventure| Fantasy| Horror",3
"19","The Snow Queen (2013)","Action| Adventure| Fantasy| Horror| Sci-Fi",2.6
"20","Johann Karlo's Gun Driver (2016)","Action| Adventure| Fantasy| Horror| Sci-Fi| Western",9.3
"21","The Dark Tower (2017)","Action| Adventure| Fantasy| Horror| Sci-Fi| Western",5.8
"22","Demon Hunter (2016)","Action| Adventure| Fantasy| Horror| Thriller",3.9
"23","Blackwater (2007)","Action| Adventure| Horror",4.6
"24","Zombie Ninjas vs Black Ops (2015)","Action| Adventure| Horror",3.4
"25","Game of Assassins (2013)","Action| Adventure| Horror",6.6
"26","Darkest Day (2015)","Action| Adventure| Horror",5.2
"27","Exists (2014)","Action| Adventure| Horror",5.2
"28","Prisoners of the Sun (2013)","Action| Adventure| Horror| Mystery",3.6
"29","Throwback (2014)","Action| Adventure| Horror| Mystery| Thriller",3.9
"30","Animal (2014)","Action| Adventure| Horror| Mystery| Thriller",4.8
"31","Martian Land (2015)","Action| Adventure| Horror| Sci-Fi",2.3
"32","Raptor Ranch (2013)","Action| Adventure| Horror| Sci-Fi",3
"33","Battle of the Damned (2013)","Action| Adventure| Horror| Sci-Fi| Thriller",4.5
"34","World War Z (2013)","Action| Adventure| Horror| Sci-Fi| Thriller",7
"35","War of the Dead (2011)","Action| Adventure| Horror| Sci-Fi| Thriller| War",4.1
"36","Skull Forest (2012)","Action| Adventure| Horror| Thriller",2.9
"37","Crazed (2014)","Action| Adventure| Horror| Thriller",5
"38","Hansel & Gretel: Warriors of Witchcraft (2013)","Action| Adventure| Horror| Thriller",2.6
"39","The Pyramid (2014)","Action| Adventure| Horror| Thriller",4.6
"40","Aftershock (2012)","Action| Adventure| Horror| Thriller",4.8
"41","All Girls Weekend (2016)","Action| Adventure| Horror| Thriller",5.6
"42","Cockneys vs Zombies (2012)","Action| Comedy| Crime| Fantasy| Horror",5.9
"43","Abduction (2017)","Action| Comedy| Drama| Fantasy| Horror| Sci-Fi| Thriller",3.1
"44","Krapiva (2016)","Action| Comedy| Drama| Horror| Sci-Fi| Thriller",7.9
"45","Dylan Dog: Il Trillo Del Diavolo [Fan-Film] (2012)","Action| Comedy| Drama| Horror| Thriller",7.8
"46","Orcs! (2011)","Action| Comedy| Fantasy| Horror",3.6
"47","Blood Sombrero (2016)","Action| Comedy| Fantasy| Horror",4.3
"48","Don't Kill It (2016)","Action| Comedy| Fantasy| Horror",5.2
"49","Kaashmora (2016)","Action| Comedy| Fantasy| Horror",5.6
"50","Golmaal Again (2017)","Action| Comedy| Fantasy| Horror",5.6
"51","Vampire Academy (2014)","Action| Comedy| Fantasy| Horror| Mystery",5.6
"52","Hectic Knife (2016)","Action| Comedy| Horror",6.6
"53","Not Another Zombie Movie....About the Living Dead (2014)","Action| Comedy| Horror",5.4
"54","Masss (2015)","Action| Comedy| Horror",6.2
"55","Terrordactyl (2016)","Action| Comedy| Horror",4.3
"56","Tiktik: The Aswang Chronicles (2012)","Action| Comedy| Horror",5.5
"57","Holy Hell (2015)","Action| Comedy| Horror",6.9
"58","Bunny the Killer Thing (2015)","Action| Comedy| Horror",4.4
"59","The Taint (2011)","Action| Comedy| Horror",5.3
"60","Quad X: The Porn Movie Massacre (2015)","Action| Comedy| Horror",5.7
"61","Bunker of the Dead (2015)","Action| Comedy| Horror",3.8
"62","Kubot: The Aswang Chronicles 2 (2014)","Action| Comedy| Horror",7.4
"63","Z-Office (2017)","Action| Comedy| Horror",5.1
"64","Ninjas vs. Monsters (2012)","Action| Comedy| Horror",3.4
"65","KL24: Zombies (2017)","Action| Comedy| Horror",5
"66","Badass Monster Killer (2015)","Action| Comedy| Horror",6.1
"67","Hind Ka Napak Ko Jawab (2017)","Action| Comedy| Horror",7.6
"68","Helen Keller vs. Nightwolves (2015)","Action| Comedy| Horror",6.6
"69","Convention of the Dead (2016)","Action| Comedy| Horror",8.5
"70","Dead Sushi (2012)","Action| Comedy| Horror",5.8
"71","Vampire Cleanup Department (2017)","Action| Comedy| Horror",6.3
"72","Blood Shot (2013)","Action| Comedy| Horror",3.3
"73","Zombie Hunter (2013)","Action| Comedy| Horror",3.5
"74","Yakuza Apocalypse (2015)","Action| Comedy| Horror",5.5
"75","Juan of the Dead (2011)","Action| Comedy| Horror",6.5
"76","Wyrmwood: Road of the Dead (2014)","Action| Comedy| Horror",6.3
"77","Father's Day (2011)","Action| Comedy| Horror",6
"78","It Came from the Desert (2017)","Action| Comedy| Horror",6.3
"79","Birdemic 2: The Resurrection (2013)","Action| Comedy| Horror",1.7
"80","Dead Snow 2: Red vs. Dead (2014)","Action| Comedy| Horror",6.9
"81","Vamp U (2011)","Action| Comedy| Horror",4
"82","Scouts Guide to the Zombie Apocalypse (2015)","Action| Comedy| Horror",6.3
"83","Eat Locals (2017)","Action| Comedy| Horror",5.1
"84","Croczilla (2012)","Action| Comedy| Horror| Drama| Thriller",4.2
"85","Zombie Beach (2010)","Action| Comedy| Horror| Musical| Mystery| Romance| Thriller",6.9
"86","Dyke Hard (2014)","Action| Comedy| Horror| Musical| Sci-Fi",5
"87","Interstelar 2: Operation Terra 2040 (2016)","Action| Comedy| Horror| Sci-Fi",1.6
"88","Hobo with a Trash Can (2015)","Action| Comedy| Horror| Sci-Fi",5.7
"89","Meatball Machine Kodoku (2017)","Action| Comedy| Horror| Sci-Fi| Thriller",5.8
"90","Fight Like a Girl (2015)","Action| Comedy| Horror| Sport",4.2
"91","Monster Brawl (2011)","Action| Comedy| Horror| Sport",3.6
"92","The Hunted (2015)","Action| Comedy| Horror| Thriller",6.8
"93","We're Not Alone (2015)","Action| Comedy| Horror| Thriller",6.2
"94","Red Billabong (2016)","Action| Comedy| Horror| Thriller",4
"95","Pro Wrestlers vs Zombies (2014)","Action| Comedy| Horror| Thriller",3.6
"96","Butcher Boys (2012)","Action| Comedy| Horror| Thriller",3.5
"97","Hatchet III (2013)","Action| Comedy| Horror| Thriller",5.7
"98","Black Butler (2014)","Action| Crime| Drama| Fantasy| Horror| Mystery| Thriller",6.3
"99","The Boundary (2014)","Action| Crime| Drama| Horror| Mystery| Thriller",4.2
"100","Vilsen (2016)","Action| Crime| Drama| Horror| Thriller",6.4
"101","No Strings 2: Playtime in Hell (2012)","Action| Crime| Drama| Horror| Thriller",5.3
"102","Devil's Mile (2014)","Action| Crime| Horror",3.7
"103","Acid Head: The Buzzard Nuts County Slaughter (2011)","Action| Crime| Horror| Music| Thriller",2.4
"104","Nilalang (2015)","Action| Crime| Horror| Mystery| Thriller",8.1
"105","Bloodrunners (2017)","Action| Crime| Horror| Mystery| Thriller",6.6
"106","Grindsploitation (2016)","Action| Crime| Horror| Sci-Fi| Thriller",6.2
"107","Frankenstein Created Bikers (2016)","Action| Crime| Horror| Sci-Fi| Thriller",5.9
"108","Poker Night (2014)","Action| Crime| Horror| Thriller",6.3
"109","VANish (2015)","Action| Crime| Horror| Thriller",5.2
"110","Carnage Park (2016)","Action| Crime| Horror| Thriller",4.9
"111","Beyond the Grave (2010)","Action| Crime| Horror| Western",4.2
"112","Attack on Titan: Part 2 (2015)","Action| Drama| Fantasy| Horror| Sci-Fi",4.8
"113","Hostile (2014)","Action| Drama| Fantasy| Horror| Thriller",5.5
"114","In April (2016)","Action| Drama| Fantasy| Horror| Thriller",8.5
"115","Dracula Untold (2014)","Action| Drama| Fantasy| Horror| War",6.3
"116","Mohawk (2017)","Action| Drama| History| Horror| Thriller",5.4
"117","Toxin: 700 Days Left on Earth (2015)","Action| Drama| Horror",8.4
"118","Sming (2014)","Action| Drama| Horror",5.6
"119","Raze (2013)","Action| Drama| Horror",5.2
"120","The Lashman (2014)","Action| Drama| Horror| Mystery| Thriller",7
"121","Parasyte: Part 2 (2015)","Action| Drama| Horror| Sci-Fi",6.5
"122","Germ (2013)","Action| Drama| Horror| Sci-Fi",3.7
"123","Parasyte: Part 1 (2014)","Action| Drama| Horror| Sci-Fi",7
"124","Brutal (2014)","Action| Drama| Horror| Sci-Fi| Sport",2.9
"125","After the Dawn (2012)","Action| Drama| Horror| Sci-Fi| Thriller",3.6
"126","The Day (2011)","Action| Drama| Horror| Sci-Fi| Thriller",5.2
"127","Cell (2016)","Action| Drama| Horror| Sci-Fi| Thriller",4.3
"128","The Strangers (2012)","Action| Drama| Horror| Thriller",6
"129","Sickness (2017)","Action| Drama| Horror| Thriller",5.1
"130","Feral (2017)","Action| Drama| Horror| Thriller",6.2
"131","Hidden in the Woods (2012)","Action| Drama| Horror| Thriller",4.6
"132","Dead South (2016)","Action| Drama| Horror| Thriller",3.5
"133","Path (2015)","Action| Drama| Horror| Thriller",3.6
"134","Train to Busan (2016)","Action| Drama| Horror| Thriller",7.5
"135","Tokyo Ghoul (2017)","Action| Drama| Horror| Thriller",6.3
"136","One Last Sunset Redux (2015)","Action| Drama| Horror| Thriller| War",4.6
"137","Knight of the Dead (2013)","Action| Fantasy| Horror",2.8
"138","The Black Fables (2015)","Action| Fantasy| Horror",6.1
"139","Hansel & Gretel: Witch Hunters (2013)","Action| Fantasy| Horror",6.1
